edad,experiencia,kilometraje,antiguedad_auto,anio_fabricacion,siniestros_5y,prima_real
56,8,85269,29,1996,1,388.4136537037743
69,36,141041,22,2003,1,343.950439396093
46,9,35969,14,2011,0,340.5886631868032
32,14,163521,26,1999,0,393.5792337725969
60,36,91679,24,2001,0,288.65183021943477
25,7,156777,13,2012,2,543.0216412776931
38,20,191375,1,2024,2,463.04586528334363
56,20,28363,6,2019,1,364.6930760207793
36,18,161792,16,2009,0,307.3576861041058
40,22,141044,17,2008,0,310.9774488915201
28,1,33351,5,2020,1,424.4792803141032
28,7,111023,26,1999,2,494.7104624668785
41,23,167217,20,2005,0,321.9358992061883
70,21,87948,7,2018,0,258.8716349443614
53,35,56235,27,1998,0,326.49310830104247
57,26,14855,26,1999,0,353.8715433642698
41,23,167241,1,2024,0,257.26280776389353
20,2,177476,0,2025,0,510.39441611698476
39,12,150641,15,2010,0,416.0979892660946
70,9,125074,6,2019,0,320.8411491140114
19,1,54437,21,2004,0,552.0761103099097
41,8,179578,23,2002,2,514.9943474116476
61,26,156810,10,2015,0,334.1031566850662
47,29,137844,14,2011,0,288.7661349527288
55,0,90410,12,2013,0,415.6538461609216
19,1,19731,29,1996,0,502.42827756839824
38,20,141203,23,2002,1,400.1341445021113
50,28,66324,1,2024,0,218.35938098417867
29,6,185169,13,2012,1,396.2455449680418
39,2,81720,23,2002,0,449.3035014652296
61,19,96433,5,2020,0,246.02997479365777
42,19,2889,8,2017,0,307.5132778054786
66,29,9569,27,1998,0,271.52893091203316
44,26,87193,6,2019,0,244.5433722295616
59,34,85192,17,2008,0,331.029077524154
45,27,87154,23,2002,0,315.3610198083644
33,15,108073,8,2017,1,356.18578755641664
32,14,7612,22,2003,0,379.3396265774464
64,13,51644,3,2022,0,291.3097663471531
68,16,32069,8,2017,0,336.89932381393356
61,17,81741,3,2022,1,327.9166804081333
72,28,158403,11,2014,0,305.85628061952707
69,19,55897,3,2022,0,295.85495561160303
74,26,145006,24,2001,0,310.59827721308943
20,2,141167,29,1996,0,491.7483565738038
54,3,102544,23,2002,2,571.3168365619272
68,0,18706,19,2006,0,454.9429426456678
24,0,174588,13,2012,0,557.418251191856
38,20,103602,23,2002,0,286.9089217520675
26,8,34629,23,2002,1,361.70005793800294
56,22,177982,6,2019,0,359.59876846024315
35,9,124746,25,2000,0,388.51727102457977
21,3,20431,12,2013,1,607.9199408932515
42,4,187805,21,2004,0,479.71781397737897
31,0,40088,7,2018,0,367.8125582031329
67,16,175207,22,2003,0,417.61516143103194
26,8,169087,4,2021,1,363.86333140513347
43,25,31385,11,2014,0,279.210928999687
70,28,70199,12,2013,0,350.0810632746888
19,1,38677,28,1997,1,576.2027103974848
37,4,118104,19,2006,0,416.0940838751018
45,10,12818,13,2012,0,343.65891552774644
64,20,63001,27,1998,1,437.5278470850728
24,6,155049,17,2008,1,573.4463467131903
61,11,49832,26,1999,0,341.03880940553285
25,7,40931,23,2002,1,402.58380815846846
64,18,83990,24,2001,1,384.15581719170643
52,6,72204,19,2006,0,340.01706710948696
31,6,45784,3,2022,0,334.95298239195574
34,16,106305,20,2005,2,474.42200565799567
53,35,9921,17,2008,0,352.6878053752271
67,4,34959,6,2019,0,381.9301273520057
57,20,32328,14,2011,0,359.29738189641796
21,3,139931,20,2005,0,512.6453031547206
19,1,89506,5,2020,0,431.1477280811348
23,5,74408,15,2010,2,654.1976512777488
71,19,123852,19,2006,0,368.8075235300743
59,14,26708,23,2002,0,340.8185881122066
21,3,18847,7,2018,1,590.9734505661224
71,7,55989,27,1998,0,363.8711395187451
46,18,125383,20,2005,0,302.3850814254532
35,17,4922,15,2010,2,470.2043265572971
43,25,52335,27,1998,1,394.4132212054663
61,26,126913,21,2004,0,355.72702361420954
51,3,144613,15,2010,2,650.4390306836357
27,9,19551,2,2023,0,300.76703456383774
53,34,150453,16,2009,2,496.65731429095626
31,13,113319,8,2017,0,281.6525828896021
48,0,55673,24,2001,0,387.3780387332756
65,2,101531,2,2023,1,381.4252909136218
32,14,22948,19,2006,0,356.69995162421566
25,7,92264,28,1997,1,451.9352484368144
31,13,59072,6,2019,0,323.2764328224373
40,22,67560,17,2008,1,375.2140825664942
74,33,133558,11,2014,0,347.2083221396029
57,28,66691,18,2007,1,461.12294239817345
38,20,141154,15,2010,0,320.04923132040096
33,15,102781,21,2004,0,272.29251561506317
62,3,84105,26,1999,0,424.27198049987544
35,2,7086,23,2002,1,529.2753117828672
64,33,127818,16,2009,0,264.0799294060326
70,22,67853,19,2006,1,397.5824666575505
41,22,101925,14,2011,0,300.38679082384493
43,4,70027,0,2025,1,442.1052906874961
42,24,15916,1,2024,0,242.42940626793174
62,5,15248,7,2018,0,270.5836101865109
58,36,199119,21,2004,0,308.41107022744535
46,9,24226,24,2001,0,365.02526767445215
32,14,156097,1,2024,0,311.27034070205104
